Disease,Symptoms,Remedy,Usage
Menstrual Problems,"High blood sugar, frequent urination","Mulethi (Licorice), Honey, Ginger","Neem paste on affected area, turmeric in warm milk"
Diabetes,"Stress, sinus, tension","Ginger Oil, Turmeric, Eucalyptus Oil","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Eye Problems,"Burning sensation, chest pain, bloating","Bael Fruit, Pomegranate, Ginger","Jamun seed powder with water, methi overnight water"
Hairfall,"Irregular periods, cramps","Ashwagandha, Turmeric, Ginger","Neem paste on affected area, turmeric in warm milk"
Asthma,"Irregular periods, cramps","Brahmi, Ashwagandha, Shankhpushpi",Paste application and inhalation
Asthma,"Burning sensation, chest pain, bloating","Ginger Oil, Turmeric, Eucalyptus Oil","Amla juice daily, bhringraj oil scalp massage"
Eye Problems,"Burning sensation, chest pain, bloating","Fennel Seeds, Amla, Mint","Neem paste on affected area, turmeric in warm milk"
Fever,"High blood pressure, headache","Brahmi, Peppermint, Eucalyptus Oil",Paste application and inhalation
Eye Problems,"Weak roots, dandruff, dryness","Neem, Turmeric, Aloe Vera",Juice or powder in warm water
Diarrhea,"High blood pressure, headache","Ashoka, Lodhra, Aloe Vera",Juice or powder in warm water
Diabetes,"Runny nose, sore throat, sneezing, cough","Guggul, Triphala, Honey",Herbal tea twice daily
Back Pain,Dry or wet cough,"Neem, Turmeric, Aloe Vera","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Menstrual Problems,"Bloating, gas, stomach ache, acidity","Guggul, Triphala, Honey",Tulsi tea with ginger & honey twice daily
Stress,"Severe headache, nausea","Triphala, Amla, Honey",Juice or powder in warm water
Indigestion,"Breathlessness, chest tightness","Ashoka, Lodhra, Aloe Vera",Juice or powder in warm water
Hairfall,"Joint pain, swelling","Ashoka, Lodhra, Aloe Vera",Juice or decoction once daily
Obesity,Dry or wet cough,"Garlic, Arjuna, Amla",Mulethi powder with honey twice daily
Menstrual Problems,"Lower back pain, stiffness","Tulsi, Ginger, Honey, Black Pepper",Juice with honey twice daily
Obesity,"Runny nose, sore throat, sneezing, cough","Mulethi (Licorice), Honey, Ginger","Jamun seed powder with water, methi overnight water"
Menstrual Problems,"Irregular periods, cramps","Ashwagandha, Turmeric, Ginger",Juice or powder in warm water
Skin Allergy,Dry or wet cough,"Ginger Oil, Turmeric, Eucalyptus Oil",Herbal tea twice daily
Diabetes,"Burning sensation, chest pain, bloating","Brahmi, Peppermint, Eucalyptus Oil",Juice with honey twice daily
Skin Allergy,"Severe headache, nausea","Mulethi (Licorice), Honey, Ginger",Decoction twice daily
Skin Allergy,"Stress, sinus, tension","Brahmi, Ashwagandha, Shankhpushpi","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Back Pain,"High temperature, body pain, weakness","Fennel Seeds, Amla, Mint",Juice or powder in warm water
Arthritis,"Anxiety, restlessness","Neem, Turmeric, Aloe Vera",Juice or powder in warm water
Eye Problems,"Lower back pain, stiffness","Neem, Turmeric, Aloe Vera",Juice with honey twice daily
Eye Problems,"Stress, sinus, tension","Giloy, Tulsi, Ginger","Jamun seed powder with water, methi overnight water"
Migraine,"Itching, redness, inflammation","Triphala, Amla, Honey",Juice or decoction once daily
Hairfall,"Burning sensation, chest pain, bloating","Triphala, Isabgol, Warm Water",Powder with warm water daily
Headache,"Severe headache, nausea","Amla, Bhringraj, Coconut Oil","Fennel tea after meals, amla juice"
Obesity,"Irregular periods, cramps","Neem, Turmeric, Aloe Vera",Juice or decoction once daily
Stress,"Weak roots, dandruff, dryness","Ginger Oil, Turmeric, Eucalyptus Oil","Neem paste on affected area, turmeric in warm milk"
Common Cold,"Overweight, fatigue","Brahmi, Peppermint, Eucalyptus Oil",Oil massage and warm compress
Headache,"High temperature, body pain, weakness","Neem, Turmeric, Aloe Vera","Neem paste on affected area, turmeric in warm milk"
Asthma,"Weak roots, dandruff, dryness","Ginger Oil, Turmeric, Eucalyptus Oil","Amla juice daily, bhringraj oil scalp massage"
Asthma,"Stress, sinus, tension","Brahmi, Ashwagandha, Shankhpushpi",Juice or powder in warm water
Constipation,"Blurred vision, eye strain","Neem, Turmeric, Aloe Vera","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Asthma,"Overweight, fatigue","Peppermint, Ginger, Coriander",Paste application and inhalation
Obesity,"High blood pressure, headache","Jamun Seeds, Methi Seeds, Neem Leaves",Mulethi powder with honey twice daily
Hypertension,"Weak roots, dandruff, dryness","Tulsi, Ginger, Honey, Black Pepper",Mulethi powder with honey twice daily
Common Cold,"Stress, sinus, tension","Brahmi, Peppermint, Eucalyptus Oil","Jamun seed powder with water, methi overnight water"
Cough,"High temperature, body pain, weakness","Bael Fruit, Pomegranate, Ginger",Mulethi powder with honey twice daily
Hypertension,"Bloating, gas, stomach ache, acidity","Ginger Oil, Turmeric, Eucalyptus Oil",Decoction twice daily
Common Cold,"Breathlessness, chest tightness","Tulsi, Ginger, Honey, Black Pepper",Juice or decoction once daily
Migraine,"Hard stool, bloating","Ashwagandha, Turmeric, Ginger",Herbal tea twice daily
Obesity,"Burning sensation, chest pain, bloating","Jamun Seeds, Methi Seeds, Neem Leaves","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Back Pain,"Irregular periods, cramps","Ashoka, Lodhra, Aloe Vera",Powder with warm water daily
Stress,"High temperature, body pain, weakness","Neem, Turmeric, Aloe Vera",Paste application and inhalation
Hypertension,"Anxiety, restlessness","Ashwagandha, Turmeric, Ginger",Mulethi powder with honey twice daily
Skin Allergy,"Anxiety, restlessness","Mulethi (Licorice), Honey, Ginger","Neem paste on affected area, turmeric in warm milk"
Indigestion,"Stress, sinus, tension","Fennel Seeds, Amla, Mint",Triphala powder at night with warm water
Back Pain,Dry or wet cough,"Ashoka, Lodhra, Aloe Vera",Tulsi tea with ginger & honey twice daily
Stress,"High temperature, body pain, weakness","Mulethi (Licorice), Honey, Ginger",Mulethi powder with honey twice daily
Common Cold,"Burning sensation, chest pain, bloating","Mulethi (Licorice), Honey, Ginger",Juice with honey twice daily
Constipation,"Bloating, gas, stomach ache, acidity","Fennel Seeds, Amla, Mint",Juice or tea after meals
Asthma,"Runny nose, sore throat, sneezing, cough","Tulsi, Ginger, Honey, Black Pepper",Tulsi tea with ginger & honey twice daily
Diabetes,"Loose motion, dehydration","Jamun Seeds, Methi Seeds, Neem Leaves",Juice or tea after meals
Obesity,"Breathlessness, chest tightness","Jamun Seeds, Methi Seeds, Neem Leaves",Oil massage and warm compress
Migraine,Dry or wet cough,"Brahmi, Ashwagandha, Shankhpushpi","Amla juice daily, bhringraj oil scalp massage"
Common Cold,"Stress, sinus, tension","Neem, Turmeric, Aloe Vera",Mulethi powder with honey twice daily
Constipation,"Blurred vision, eye strain","Mulethi (Licorice), Honey, Ginger",Giloy juice with water daily
Menstrual Problems,"High temperature, body pain, weakness","Jamun Seeds, Methi Seeds, Neem Leaves",Decoction twice daily
Obesity,"Itching, redness, inflammation","Neem, Turmeric, Aloe Vera",Tulsi tea with ginger & honey twice daily
Diabetes,"Weak roots, dandruff, dryness","Ajwain, Ginger, Lemon",Triphala powder at night with warm water
Acidity,"Itching, redness, inflammation","Peppermint, Ginger, Coriander",Decoction twice daily
Obesity,"Breathlessness, chest tightness","Mulethi (Licorice), Honey, Ginger",Juice or decoction once daily
Constipation,"Loose motion, dehydration","Giloy, Tulsi, Ginger",Juice or tea after meals
Hairfall,"Lower back pain, stiffness","Vasaka, Tulsi, Ginger",Powder with warm water daily
Diabetes,"Bloating, gas, stomach ache, acidity","Mulethi (Licorice), Honey, Ginger",Herbal capsule or tea twice daily
Diarrhea,"Runny nose, sore throat, sneezing, cough","Garlic, Arjuna, Amla",Mulethi powder with honey twice daily
Indigestion,"Burning sensation, chest pain, bloating","Mulethi (Licorice), Honey, Ginger",Juice or powder in warm water
Diarrhea,"Itching, redness, inflammation","Brahmi, Peppermint, Eucalyptus Oil","Jamun seed powder with water, methi overnight water"
Diabetes,"Runny nose, sore throat, sneezing, cough","Fennel Seeds, Amla, Mint",Juice with honey twice daily
Hairfall,"Joint pain, swelling","Vasaka, Tulsi, Ginger",Paste application and inhalation
Constipation,"High blood sugar, frequent urination","Peppermint, Ginger, Coriander","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Hypertension,"Joint pain, swelling","Triphala, Isabgol, Warm Water","Ajwain with warm water after meals, ginger tea"
Menstrual Problems,"High blood pressure, headache","Vasaka, Tulsi, Ginger",Paste application and inhalation
Obesity,"Burning sensation, chest pain, bloating","Amla, Bhringraj, Coconut Oil","Fennel tea after meals, amla juice"
Hypertension,"Breathlessness, chest tightness","Garlic, Arjuna, Amla",Mulethi powder with honey twice daily
Common Cold,Dry or wet cough,"Jamun Seeds, Methi Seeds, Neem Leaves",Oil massage and warm compress
Diarrhea,"Hard stool, bloating","Giloy, Tulsi, Ginger",Juice with honey twice daily
Common Cold,"Stress, sinus, tension","Brahmi, Peppermint, Eucalyptus Oil","Amla juice daily, bhringraj oil scalp massage"
Acidity,"Anxiety, restlessness","Triphala, Isabgol, Warm Water","Jamun seed powder with water, methi overnight water"
Hypertension,"Breathlessness, chest tightness","Giloy, Tulsi, Ginger",Juice or powder in warm water
Acidity,"Irregular periods, cramps","Garlic, Arjuna, Amla",Mulethi powder with honey twice daily
Back Pain,"Runny nose, sore throat, sneezing, cough","Brahmi, Ashwagandha, Shankhpushpi",Giloy juice with water daily
Headache,"High temperature, body pain, weakness","Ashwagandha, Turmeric, Ginger","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Constipation,"Hard stool, bloating","Fennel Seeds, Amla, Mint",Powder with warm water daily
Menstrual Problems,"Weak roots, dandruff, dryness","Mulethi (Licorice), Honey, Ginger","Amla juice daily, bhringraj oil scalp massage"
Hairfall,"High blood pressure, headache","Peppermint, Ginger, Coriander",Juice with honey twice daily
Indigestion,"Severe headache, nausea","Triphala, Isabgol, Warm Water","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Menstrual Problems,"Irregular periods, cramps","Guggul, Triphala, Honey",Juice with honey twice daily
Skin Allergy,"Lower back pain, stiffness","Ashoka, Lodhra, Aloe Vera",Paste application and inhalation
Common Cold,"High blood sugar, frequent urination","Giloy, Tulsi, Ginger",Herbal tea twice daily
Skin Allergy,"Burning sensation, chest pain, bloating","Giloy, Tulsi, Ginger",Tulsi tea with ginger & honey twice daily
Diabetes,"High temperature, body pain, weakness","Tulsi, Ginger, Honey, Black Pepper",Decoction twice daily
Constipation,"Bloating, gas, stomach ache, acidity","Brahmi, Ashwagandha, Shankhpushpi",Juice or powder in warm water
Diarrhea,"Blurred vision, eye strain","Ashwagandha, Turmeric, Ginger","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Asthma,"Lower back pain, stiffness","Brahmi, Peppermint, Eucalyptus Oil","Jamun seed powder with water, methi overnight water"
Cough,"High temperature, body pain, weakness","Neem, Turmeric, Aloe Vera",Triphala powder at night with warm water
Acidity,"Anxiety, restlessness","Amla, Bhringraj, Coconut Oil",Mulethi powder with honey twice daily
Eye Problems,"High blood sugar, frequent urination","Neem, Turmeric, Aloe Vera",Herbal tea twice daily
Headache,"Lower back pain, stiffness","Neem, Turmeric, Aloe Vera",Powder with warm water daily
Indigestion,"Runny nose, sore throat, sneezing, cough","Jamun Seeds, Methi Seeds, Neem Leaves",Paste application and inhalation
Back Pain,"Breathlessness, chest tightness","Ashoka, Lodhra, Aloe Vera",Juice or decoction once daily
Hypertension,"Runny nose, sore throat, sneezing, cough","Ashoka, Lodhra, Aloe Vera",Juice or decoction once daily
Arthritis,"Lower back pain, stiffness","Neem, Turmeric, Aloe Vera","Fennel tea after meals, amla juice"
Obesity,"High blood pressure, headache","Guggul, Triphala, Honey",Triphala powder at night with warm water
Diarrhea,"Lower back pain, stiffness","Neem, Turmeric, Aloe Vera","Jamun seed powder with water, methi overnight water"
Cough,"Joint pain, swelling","Jamun Seeds, Methi Seeds, Neem Leaves",Herbal tea twice daily
Hairfall,"Lower back pain, stiffness","Neem, Turmeric, Aloe Vera",Juice with honey twice daily
Migraine,"Stress, sinus, tension","Triphala, Isabgol, Warm Water",Oil massage and warm compress
Obesity,Dry or wet cough,"Neem, Turmeric, Aloe Vera",Juice or powder in warm water
Hairfall,"Bloating, gas, stomach ache, acidity","Ajwain, Ginger, Lemon",Giloy juice with water daily
Stress,"Breathlessness, chest tightness","Vasaka, Tulsi, Ginger",Mulethi powder with honey twice daily
Back Pain,"Burning sensation, chest pain, bloating","Garlic, Arjuna, Amla",Tulsi tea with ginger & honey twice daily
Common Cold,"Overweight, fatigue","Triphala, Amla, Honey","Ajwain with warm water after meals, ginger tea"
Diabetes,"High blood pressure, headache","Ashwagandha, Turmeric, Ginger",Paste application and inhalation
Eye Problems,"Breathlessness, chest tightness","Guggul, Triphala, Honey","Fennel tea after meals, amla juice"
Headache,"Runny nose, sore throat, sneezing, cough","Bael Fruit, Pomegranate, Ginger",Juice or powder in warm water
Eye Problems,"Joint pain, swelling","Brahmi, Ashwagandha, Shankhpushpi",Herbal tea twice daily
Obesity,"Blurred vision, eye strain","Neem, Turmeric, Aloe Vera",Mulethi powder with honey twice daily
Obesity,"Severe headache, nausea","Mulethi (Licorice), Honey, Ginger","Jamun seed powder with water, methi overnight water"
Indigestion,"Weak roots, dandruff, dryness","Triphala, Isabgol, Warm Water",Tulsi tea with ginger & honey twice daily
Menstrual Problems,"Loose motion, dehydration","Guggul, Triphala, Honey",Juice or powder in warm water
Cough,"Lower back pain, stiffness","Ajwain, Ginger, Lemon",Triphala powder at night with warm water
Common Cold,"Runny nose, sore throat, sneezing, cough","Neem, Turmeric, Aloe Vera","Amla juice daily, bhringraj oil scalp massage"
Fever,Dry or wet cough,"Garlic, Arjuna, Amla",Juice or powder in warm water
Menstrual Problems,"Loose motion, dehydration","Ajwain, Ginger, Lemon","Amla juice daily, bhringraj oil scalp massage"
Stress,"Lower back pain, stiffness","Peppermint, Ginger, Coriander",Giloy juice with water daily
Menstrual Problems,"Itching, redness, inflammation","Triphala, Isabgol, Warm Water",Herbal tea twice daily
Eye Problems,"Joint pain, swelling","Jamun Seeds, Methi Seeds, Neem Leaves",Juice or tea after meals
Common Cold,"High blood sugar, frequent urination","Guggul, Triphala, Honey","Ajwain with warm water after meals, ginger tea"
Headache,"High blood pressure, headache","Giloy, Tulsi, Ginger",Oil massage and warm compress
Arthritis,Dry or wet cough,"Ginger Oil, Turmeric, Eucalyptus Oil","Fennel tea after meals, amla juice"
Hairfall,"Lower back pain, stiffness","Brahmi, Peppermint, Eucalyptus Oil",Mulethi powder with honey twice daily
Cough,"Anxiety, restlessness","Vasaka, Tulsi, Ginger","Ajwain with warm water after meals, ginger tea"
Acidity,"Blurred vision, eye strain","Ashwagandha, Turmeric, Ginger",Tulsi tea with ginger & honey twice daily
Cough,"Stress, sinus, tension","Amla, Bhringraj, Coconut Oil",Herbal capsule or tea twice daily
Diarrhea,"Hard stool, bloating","Tulsi, Ginger, Honey, Black Pepper","Ajwain with warm water after meals, ginger tea"
Back Pain,"Runny nose, sore throat, sneezing, cough","Ashoka, Lodhra, Aloe Vera",Juice or powder in warm water
Hairfall,"High temperature, body pain, weakness","Ashwagandha, Turmeric, Ginger","Ajwain with warm water after meals, ginger tea"
Indigestion,"Blurred vision, eye strain","Ginger Oil, Turmeric, Eucalyptus Oil","Jamun seed powder with water, methi overnight water"
Asthma,"Joint pain, swelling","Neem, Turmeric, Aloe Vera",Paste application and inhalation
Indigestion,"Lower back pain, stiffness","Guggul, Triphala, Honey",Herbal capsule or tea twice daily
Arthritis,"Itching, redness, inflammation","Tulsi, Ginger, Honey, Black Pepper","Ajwain with warm water after meals, ginger tea"
Indigestion,"Loose motion, dehydration","Jamun Seeds, Methi Seeds, Neem Leaves",Mulethi powder with honey twice daily
Diarrhea,"Hard stool, bloating","Triphala, Amla, Honey",Decoction twice daily
Obesity,"Severe headache, nausea","Brahmi, Ashwagandha, Shankhpushpi",Herbal capsule or tea twice daily
Hypertension,"Itching, redness, inflammation","Ashwagandha, Turmeric, Ginger",Juice or tea after meals
Arthritis,"High blood sugar, frequent urination","Mulethi (Licorice), Honey, Ginger",Mulethi powder with honey twice daily
Indigestion,"Loose motion, dehydration","Ashwagandha, Turmeric, Ginger",Mulethi powder with honey twice daily
Fever,"Severe headache, nausea","Brahmi, Peppermint, Eucalyptus Oil","Fennel tea after meals, amla juice"
Eye Problems,"Runny nose, sore throat, sneezing, cough","Jamun Seeds, Methi Seeds, Neem Leaves","Fennel tea after meals, amla juice"
Common Cold,"Anxiety, restlessness","Neem, Turmeric, Aloe Vera","Fennel tea after meals, amla juice"
Hypertension,"Weak roots, dandruff, dryness","Mulethi (Licorice), Honey, Ginger",Herbal capsule or tea twice daily
Obesity,"High temperature, body pain, weakness","Ginger Oil, Turmeric, Eucalyptus Oil","Fennel tea after meals, amla juice"
Stress,"Loose motion, dehydration","Bael Fruit, Pomegranate, Ginger","Jamun seed powder with water, methi overnight water"
Acidity,"Overweight, fatigue","Bael Fruit, Pomegranate, Ginger",Juice with honey twice daily
Asthma,"Blurred vision, eye strain","Neem, Turmeric, Aloe Vera",Herbal capsule or tea twice daily
Migraine,Dry or wet cough,"Ashoka, Lodhra, Aloe Vera",Herbal capsule or tea twice daily
Menstrual Problems,"Irregular periods, cramps","Fennel Seeds, Amla, Mint","Amla juice daily, bhringraj oil scalp massage"
Common Cold,"Bloating, gas, stomach ache, acidity","Ajwain, Ginger, Lemon","Jamun seed powder with water, methi overnight water"
Hairfall,"High blood sugar, frequent urination","Giloy, Tulsi, Ginger",Oil massage and warm compress
Headache,"Bloating, gas, stomach ache, acidity","Brahmi, Ashwagandha, Shankhpushpi",Oil massage and warm compress
Skin Allergy,"Blurred vision, eye strain","Neem, Turmeric, Aloe Vera",Giloy juice with water daily
Indigestion,"Loose motion, dehydration","Tulsi, Ginger, Honey, Black Pepper",Decoction twice daily
Constipation,"Irregular periods, cramps","Guggul, Triphala, Honey",Paste application and inhalation
Constipation,Dry or wet cough,"Peppermint, Ginger, Coriander","Neem paste on affected area, turmeric in warm milk"
Constipation,"High blood pressure, headache","Mulethi (Licorice), Honey, Ginger",Juice or powder in warm water
Common Cold,"Overweight, fatigue","Tulsi, Ginger, Honey, Black Pepper",Juice or powder in warm water
Diarrhea,"Stress, sinus, tension","Fennel Seeds, Amla, Mint",Giloy juice with water daily
Diarrhea,Dry or wet cough,"Amla, Bhringraj, Coconut Oil",Herbal tea twice daily
Diarrhea,"Blurred vision, eye strain","Garlic, Arjuna, Amla",Powder with warm water daily
Hairfall,"Weak roots, dandruff, dryness","Ajwain, Ginger, Lemon",Juice or decoction once daily
Diabetes,"High blood pressure, headache","Tulsi, Ginger, Honey, Black Pepper",Mulethi powder with honey twice daily
Constipation,"Stress, sinus, tension","Neem, Turmeric, Aloe Vera",Herbal capsule or tea twice daily
Back Pain,"Runny nose, sore throat, sneezing, cough","Ginger Oil, Turmeric, Eucalyptus Oil",Juice or tea after meals
Fever,"High blood pressure, headache","Neem, Turmeric, Aloe Vera",Juice with honey twice daily
Constipation,"Weak roots, dandruff, dryness","Tulsi, Ginger, Honey, Black Pepper",Juice or tea after meals
Back Pain,"Lower back pain, stiffness","Bael Fruit, Pomegranate, Ginger",Juice or tea after meals
Diabetes,"Anxiety, restlessness","Brahmi, Ashwagandha, Shankhpushpi","Fennel tea after meals, amla juice"
Eye Problems,"Itching, redness, inflammation","Triphala, Isabgol, Warm Water",Paste application and inhalation
Fever,"Hard stool, bloating","Vasaka, Tulsi, Ginger",Juice or decoction once daily
Back Pain,"Weak roots, dandruff, dryness","Brahmi, Ashwagandha, Shankhpushpi","Neem paste on affected area, turmeric in warm milk"
Headache,"Blurred vision, eye strain","Brahmi, Peppermint, Eucalyptus Oil","Neem paste on affected area, turmeric in warm milk"
Obesity,"Bloating, gas, stomach ache, acidity","Ajwain, Ginger, Lemon",Mulethi powder with honey twice daily
Indigestion,"High blood sugar, frequent urination","Mulethi (Licorice), Honey, Ginger","Amla juice daily, bhringraj oil scalp massage"
Menstrual Problems,"Joint pain, swelling","Mulethi (Licorice), Honey, Ginger","Amla juice daily, bhringraj oil scalp massage"
Eye Problems,"Loose motion, dehydration","Triphala, Amla, Honey",Powder with warm water daily
Fever,"Irregular periods, cramps","Garlic, Arjuna, Amla",Juice or decoction once daily
Constipation,"Runny nose, sore throat, sneezing, cough","Neem, Turmeric, Aloe Vera",Triphala powder at night with warm water
Skin Allergy,"Joint pain, swelling","Ajwain, Ginger, Lemon","Fennel tea after meals, amla juice"
Menstrual Problems,"Runny nose, sore throat, sneezing, cough","Tulsi, Ginger, Honey, Black Pepper",Mulethi powder with honey twice daily
Skin Allergy,"Lower back pain, stiffness","Amla, Bhringraj, Coconut Oil","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Obesity,"Bloating, gas, stomach ache, acidity","Garlic, Arjuna, Amla",Decoction twice daily
Diarrhea,"Lower back pain, stiffness","Fennel Seeds, Amla, Mint",Decoction twice daily
Diabetes,"Overweight, fatigue","Brahmi, Peppermint, Eucalyptus Oil",Herbal capsule or tea twice daily
Cough,"High blood pressure, headache","Amla, Bhringraj, Coconut Oil",Oil massage and warm compress
Skin Allergy,"Lower back pain, stiffness","Ajwain, Ginger, Lemon","Fennel tea after meals, amla juice"
Diabetes,"Bloating, gas, stomach ache, acidity","Ashoka, Lodhra, Aloe Vera","Neem paste on affected area, turmeric in warm milk"
Common Cold,"Lower back pain, stiffness","Mulethi (Licorice), Honey, Ginger",Decoction twice daily
Stress,"Burning sensation, chest pain, bloating","Neem, Turmeric, Aloe Vera","Jamun seed powder with water, methi overnight water"
Indigestion,"Runny nose, sore throat, sneezing, cough","Brahmi, Peppermint, Eucalyptus Oil",Oil massage and warm compress
Cough,"Severe headache, nausea","Ginger Oil, Turmeric, Eucalyptus Oil","Jamun seed powder with water, methi overnight water"
Indigestion,"Weak roots, dandruff, dryness","Jamun Seeds, Methi Seeds, Neem Leaves",Paste application and inhalation
Diabetes,"Weak roots, dandruff, dryness","Amla, Bhringraj, Coconut Oil",Decoction twice daily
Eye Problems,"Hard stool, bloating","Triphala, Isabgol, Warm Water",Tulsi tea with ginger & honey twice daily
Eye Problems,"Breathlessness, chest tightness","Triphala, Amla, Honey","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Indigestion,"High blood pressure, headache","Bael Fruit, Pomegranate, Ginger","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Asthma,"Anxiety, restlessness","Ashoka, Lodhra, Aloe Vera",Powder with warm water daily
Acidity,"Hard stool, bloating","Ginger Oil, Turmeric, Eucalyptus Oil",Juice with honey twice daily
Cough,"Loose motion, dehydration","Ashoka, Lodhra, Aloe Vera",Juice or tea after meals
Hairfall,"Hard stool, bloating","Ashwagandha, Turmeric, Ginger",Juice or decoction once daily
Migraine,"Weak roots, dandruff, dryness","Peppermint, Ginger, Coriander",Mulethi powder with honey twice daily
Common Cold,"High blood pressure, headache","Brahmi, Peppermint, Eucalyptus Oil","Neem paste on affected area, turmeric in warm milk"
Diarrhea,"Irregular periods, cramps","Peppermint, Ginger, Coriander",Herbal capsule or tea twice daily
Diarrhea,"High blood pressure, headache","Ashoka, Lodhra, Aloe Vera",Herbal tea twice daily
Hairfall,"Overweight, fatigue","Brahmi, Peppermint, Eucalyptus Oil","Neem paste on affected area, turmeric in warm milk"
Headache,"Severe headache, nausea","Ashoka, Lodhra, Aloe Vera",Herbal capsule or tea twice daily
Diabetes,"Hard stool, bloating","Mulethi (Licorice), Honey, Ginger",Herbal tea twice daily
Common Cold,"Irregular periods, cramps","Brahmi, Peppermint, Eucalyptus Oil",Mulethi powder with honey twice daily
Eye Problems,"Burning sensation, chest pain, bloating","Giloy, Tulsi, Ginger",Decoction twice daily
Cough,"High blood sugar, frequent urination","Triphala, Amla, Honey","Neem paste on affected area, turmeric in warm milk"
Indigestion,"High blood sugar, frequent urination","Giloy, Tulsi, Ginger",Paste application and inhalation
